Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.018792,0.02001,-0.0099989,0,0,0,0.031905,5.4828E-06,-8.0892E-08,-9.1152E-11,5.2647E-06,-2.6656E-10,8.6771E-06,0,0,0,0,0,0,package://arm_assembly_4/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly_4/meshes/base_link.STL,,part_link1-1,global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0085665,-0.0062685,-0.027002,0,0,0,0.04101,9.4769E-06,3.6442E-07,5.2471E-07,9.1716E-06,-5.3417E-07,1.2798E-05,0,0,0,0,0,0,package://arm_assembly_4/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly_4/meshes/link1.STL,,part_link2-1,joint1_CSYS,axis1,joint1,revolute,0.043,0.029901,-0.0098444,3.1416,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link2,-0.0035048,0.043261,0.034631,0,0,0,0.044197,3.3375E-05,1.0809E-06,5.9712E-07,1.2427E-05,-7.3006E-06,2.4892E-05,0,0,0,0,0,0,package://arm_assembly_4/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly_4/meshes/link2.STL,,part_link3-1,joint2_CSYS,axis2,joint2,revolute,-0.0011908,-0.032981,-0.027656,1.5947,1.5708,0,link1,0,0,-1,0,0,0,0,,,,,,,,
link3,-0.0017367,0.0047135,-0.040737,0,0,0,0.046897,2.0928E-05,8.5507E-07,-4.2766E-07,1.9258E-05,9.3477E-07,1.3945E-05,0,0,0,0,0,0,package://arm_assembly_4/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly_4/meshes/link3.STL,,part_link4-1,joint3_CSYS,axis3,joint3,revolute,-0.0035722,0.076463,0.028599,1.5708,0,0.011985,link2,0,0,1,0,0,0,0,,,,,,,,
link4,0.029609,0.066093,0.0026541,0,0,0,0.046897,2.8311E-05,-4.4495E-06,-7.3788E-07,1.4257E-05,-4.0645E-07,3.833E-05,0,0,0,0,0,0,package://arm_assembly_4/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly_4/meshes/link4.STL,,part_link5-1,joint4_CSYS,axis4,joint4,revolute,0.023642,0.0053122,-0.035099,-1.5708,0,3.1416,link3,0.99659,0,0.082463,0,0,0,0,,,,,,,,
link5,-0.0052386,-0.00098387,-0.035909,0,0,0,0.044197,1.665E-05,-6.745E-07,-9.5329E-07,1.692E-05,-2.5852E-07,1.1763E-05,0,0,0,0,0,0,package://arm_assembly_4/meshes/link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly_4/meshes/link5.STL,,part_link6-1,joint5_CSYS,axis5,joint5,revolute,0.021837,0.101,0.0040812,-1.6163,-0.00019654,-3.1378,link4,0,0,1,0,0,0,0,,,,,,,,
link6,0.026757,0.0088553,0.020504,0,0,0,0.009246,6.1978E-06,-1.0915E-06,-4.9376E-07,9.1347E-06,-1.6341E-07,4.5813E-06,0,0,0,0,0,0,package://arm_assembly_4/meshes/link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_assembly_4/meshes/link6.STL,,part_link7-1,joint6_CSYS,axis6,joint6,revolute,-0.0012994,0.024197,-0.030099,-1.5708,1.3216,3.0568,link5,0,0,1,0,0,0,0,,,,,,,,
