Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00537914192717504,-0.0200099819447371,-0.0202923199399593,0,0,0,0.0319051544349151,8.67708325062344E-06,-2.66559260574462E-10,-9.11524933844445E-11,5.26472342333194E-06,-8.0891965519516E-08,5.4827831046489E-06,0,0,0,0,0,0,package://arm_assembly_3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assembly_3/meshes/base_link.STL,,part_link1-1,global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0085665233556407,-0.00626847506104749,-0.0270017173430756,0,0,0,0.0410104436802228,9.47690608514341E-06,3.64423331475411E-07,5.24709186672203E-07,9.17156321907187E-06,-5.34168078377187E-07,1.27983563828142E-05,0,0,0,0,0,0,package://arm_assembly_3/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assembly_3/meshes/link1.STL,,part_link2-1,joint1_CSYS,axis1,joint1,revolute,0.0052247,-0.029901,-0.0445,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link2,0.0433001816963551,0.00298602346887532,0.034630760987739,0,0,0,0.0441973162046589,1.2404432131126E-05,-8.29537244327774E-07,-7.30720685832946E-06,3.33974522345599E-05,-5.09577042810609E-07,2.48917614267323E-05,0,0,0,0,0,0,package://arm_assembly_3/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assembly_3/meshes/link2.STL,,part_link3-1,joint2_CSYS,axis2,joint2,revolute,-0.0011908,-0.032981,-0.027656,1.5947,1.5708,0,link1,0,0,-1,0,0,0,0,,,,,,,,
link3,0.00144856709719526,-0.00480989017520077,-0.0407373019398186,0,0,0,0.0468973470900495,2.1024763330585E-05,7.48036478819629E-07,3.70368656713493E-07,1.91604564254077E-05,-9.58910812954483E-07,1.39446199408151E-05,0,0,0,0,0,0,package://arm_assembly_3/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assembly_3/meshes/link3.STL,,part_link4-1,joint3_CSYS,axis3,joint3,revolute,0.0765,0.0026556,0.028599,-1.5708,0.023935,1.5708,link2,0,0,1,0,0,0,0,,,,,,,,
link4,0.000644251052055803,0.0660807451013709,0.0297482009756613,0,0,0,0.0468973133508552,3.83763157971716E-05,-4.12052356248878E-07,2.6118586537159E-08,1.4268206807337E-05,-4.47467575685872E-06,2.82540176065191E-05,0,0,0,0,0,0,package://arm_assembly_3/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assembly_3/meshes/link4.STL,,part_link5-1,joint4_CSYS,axis4,joint4,revolute,-0.02392,-0.0038731,-0.035099,-1.5708,0,-1.5708,link3,-0.022063,0,0.99976,0,0,0,0,,,,,,,,
link5,-0.00532701471353565,0.000182953422074653,-0.0359086026675726,0,0,0,0.0441973483087565,1.63757481245814E-05,-5.52870289608153E-07,-9.86724855795872E-07,1.71941634742263E-05,-4.42711290371809E-08,1.17625028185318E-05,0,0,0,0,0,0,package://arm_assembly_3/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assembly_3/meshes/link5.STL,,part_link6-1,joint5_CSYS,axis5,joint5,revolute,-0.00045549,0.10103,0.022094,-0.022885,1.5703,-1.5708,link4,0,0,1,0,0,0,0,,,,,,,,
link6,0.027917364247385,0.00387021844402496,0.0205041823015297,0,0,0,0.00924604523543896,5.90557115471928E-06,-4.9774273116807E-07,-5.1517086793019E-07,9.42697695087516E-06,-7.14187692426848E-08,4.58129053999237E-06,0,0,0,0,0,0,package://arm_assembly_3/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_assembly_3/meshes/link6.STL,,part_link7-1,joint6_CSYS,axis6,joint6,revolute,0.004012,0.023897,-0.030099,-1.5708,1.4947,2.8368,link5,0,0,1,0,0,0,0,,,,,,,,
